,Keyword Entity Name,QID SPARQL,Score SPARQL,QID Pywikibot,Score Pywikibot,QID Benchmark,Score Benchmark,Comment
485,differential inclusion hilbert space,N/A,,N/A,,N/A,0,
486,strong solution,N/A,,N/A,,Q54290810,2,
487,maximal monotone operator,N/A,,N/A,,N/A,0,
488,parabolic feedback control system,N/A,,N/A,,N/A,0,
489,reducibility,N/A,,N/A,,N/A,0,
490,scalar mongeampère type equation thirdorder,N/A,,N/A,,N/A,0,
491,multiple characteristic,N/A,,N/A,,N/A,0,
492,invariant curve,N/A,,N/A,,N/A,0,
493,symbolic dynamic,N/A,,N/A,,N/A,0,
494,variation absolute continuity,N/A,,N/A,,N/A,0,
495,generalized riemann integral,N/A,,N/A,,N/A,0,
496,lebesgue integral,N/A,,N/A,,Q853831,2,
497,charge,Q1111,1,Q77076,2,Q1111,2,
498,linear difference equation,N/A,0,Q364089,2,Q364089,2,
499,explicit solution,N/A,,N/A,,N/A,0,
500,companion matrix,N/A,0,Q814361,2,Q814361,2,
